timestamp,message
1747671085880,      ) AS [b]
1747671085880,info: 05/19/2025 16:11:25.880 RelationalEventId.CommandExecuted[20101] (Microsoft.EntityFrameworkCore.Database.Command) 
1747671085880,"      Executed DbCommand (2ms) [Parameters=[], CommandType='Text', CommandTimeout='30']"
1747671085880,"      SELECT [b].[IDArtista], [b].[Nombre], [b].[Apellidos], [b].[Sexo], [b].[LinkFoto], [b].[Biografia]"
1747671085880,      FROM (
1747671085880,          SELECT * FROM dtArtistas WHERE Eliminado = 0
1747671085880,      ) AS [b]
1747671327904,info: Microsoft.EntityFrameworkCore.Database.Command[20101]
1747671327904,"      Executed DbCommand (1ms) [Parameters=[], CommandType='Text', CommandTimeout='30']"
1747671327904,"      SELECT [b].[IDArtista], [b].[Nombre], [b].[Apellidos], [b].[Sexo], [b].[LinkFoto], [b].[Biografia]"
1747671327904,      FROM (
1747671327904,          SELECT * FROM dtArtistas WHERE Eliminado = 0
1747671327904,      ) AS [b]
1747671327905,info: 05/19/2025 16:15:27.904 RelationalEventId.CommandExecuted[20101] (Microsoft.EntityFrameworkCore.Database.Command) 
1747671327905,"      Executed DbCommand (1ms) [Parameters=[], CommandType='Text', CommandTimeout='30']"
1747671327905,"      SELECT [b].[IDArtista], [b].[Nombre], [b].[Apellidos], [b].[Sexo], [b].[LinkFoto], [b].[Biografia]"
1747671327905,      FROM (
1747671327905,          SELECT * FROM dtArtistas WHERE Eliminado = 0
1747671327905,      ) AS [b]
1747671327906,info: Microsoft.EntityFrameworkCore.Database.Command[20101]
1747671327906,"      Executed DbCommand (2ms) [Parameters=[], CommandType='Text', CommandTimeout='30']"
1747671327906,"      SELECT [d].[IDVoto], [d0].[Nombre], [d0].[Apellidos], [d1].[Nombre], [d1].[Apellidos], [d].[FechaVoto]"
1747671327906,      FROM [dtVotos] AS [d]
1747671327906,      INNER JOIN [dtUsuarios] AS [d0] ON [d].[IDUsuario] = [d0].[IDUsuario]
1747671327906,      INNER JOIN [dtArtistas] AS [d1] ON [d].[IDArtista] = [d1].[IDArtista]
1747671327906,      WHERE [d].[Eliminado] = CAST(0 AS bit)
1747671327906,info: 05/19/2025 16:15:27.906 RelationalEventId.CommandExecuted[20101] (Microsoft.EntityFrameworkCore.Database.Command) 
1747671327906,"      Executed DbCommand (2ms) [Parameters=[], CommandType='Text', CommandTimeout='30']"
1747671327906,"      SELECT [d].[IDVoto], [d0].[Nombre], [d0].[Apellidos], [d1].[Nombre], [d1].[Apellidos], [d].[FechaVoto]"
1747671327906,      FROM [dtVotos] AS [d]
1747671327906,      INNER JOIN [dtUsuarios] AS [d0] ON [d].[IDUsuario] = [d0].[IDUsuario]
1747671327906,      INNER JOIN [dtArtistas] AS [d1] ON [d].[IDArtista] = [d1].[IDArtista]
1747671327906,      WHERE [d].[Eliminado] = CAST(0 AS bit)
